date,year,side,short_strike,credit,qty,pnl,exit,exit_time
20220719,2022,CALL,3940,0.3,3,83.99999999999999,expire,16:00
20220719,2022,PUT,3930,0.5,3,144.0,expire,16:00
20220720,2022,CALL,3970,0.8999999999999999,3,264.0,expire,16:00
20220720,2022,PUT,3960,0.39999999999999997,3,-456.0,touch,15:57
20220721,2022,CALL,4000,0.35,3,98.99999999999999,expire,16:00
20220721,2022,PUT,3990,0.65,3,189.00000000000003,expire,16:00
20220722,2022,CALL,3960,0.35000000000000003,3,-66.0,touch,15:59
20220722,2022,PUT,3950,0.39999999999999997,3,114.0,expire,16:00
20220725,2022,CALL,3970,0.09999999999999999,3,24.0,expire,16:00
20220725,2022,PUT,3955,0.19999999999999998,3,54.0,expire,16:00
20220726,2022,CALL,3925,0.4,3,-336.0,touch,15:55
20220726,2022,PUT,3910,0.30000000000000004,3,84.00000000000001,expire,16:00
20220727,2022,CALL,4030,0.9000000000000001,3,-95.99999999999994,touch,15:54
20220727,2022,PUT,4020,0.75,3,219.0,expire,16:00
20220728,2022,CALL,4080,0.15,3,38.99999999999999,expire,16:00
20220728,2022,PUT,4070,0.35000000000000003,3,-215.99999999999997,touch,15:55
20220729,2022,CALL,4145,0.45000000000000007,3,129.0,expire,16:00
20220729,2022,PUT,4135,0.8,3,-200.99999999999997,touch,15:53
20220801,2022,CALL,4125,0.49999999999999994,3,143.99999999999997,expire,16:00
20220801,2022,PUT,4115,0.3,3,83.99999999999999,expire,16:00
20220802,2022,CALL,4100,0.7999999999999999,3,234.0,expire,16:00
20220802,2022,PUT,4090,0.30000000000000004,3,84.00000000000001,expire,16:00
20220803,2022,CALL,4170,0.24999999999999997,3,68.99999999999999,expire,16:00
20220803,2022,PUT,4155,0.1,3,-110.99999999999999,touch,15:59
20220804,2022,CALL,4155,0.35,3,98.99999999999999,expire,16:00
20220804,2022,PUT,4145,0.19999999999999998,3,54.0,expire,16:00
20220805,2022,CALL,4150,0.1,3,24.000000000000004,expire,16:00
20220805,2022,PUT,4140,0.35,3,98.99999999999999,expire,16:00
20220808,2022,CALL,4145,0.4,3,114.00000000000001,expire,16:00
20220808,2022,PUT,4135,0.24999999999999997,3,68.99999999999999,expire,16:00
20220809,2022,CALL,4130,0.15000000000000002,3,39.00000000000001,expire,16:00
20220809,2022,PUT,4120,0.24999999999999997,3,-171.0,touch,15:55
20220810,2022,CALL,4215,0.15000000000000002,3,39.00000000000001,expire,16:00
20220810,2022,PUT,4200,0.1,3,24.000000000000004,expire,16:00
20220811,2022,CALL,4210,0.15,3,-351.0,touch,15:55
20220811,2022,PUT,4200,0.1,3,24.000000000000004,expire,16:00
20220812,2022,CALL,4280,0.15,3,-36.0,touch,15:59
20220812,2022,PUT,4270,0.45,3,129.0,expire,16:00
20220815,2022,CALL,4305,0.25,3,69.0,expire,16:00
20220815,2022,PUT,4295,0.19999999999999998,3,54.0,expire,16:00
20220816,2022,CALL,4315,0.15,3,38.99999999999999,expire,16:00
20220816,2022,PUT,4300,0.1,3,24.000000000000004,expire,16:00
20220817,2022,CALL,4275,0.25,3,-276.0,touch,15:53
20220817,2022,PUT,4265,0.3,3,83.99999999999999,expire,16:00
20220818,2022,CALL,4290,0.1,3,24.000000000000004,expire,16:00
20220819,2022,CALL,4235,0.75,3,219.0,expire,16:00
20220819,2022,PUT,4225,0.35000000000000003,3,99.0,expire,16:00
20220822,2022,CALL,4145,0.3,3,83.99999999999999,expire,16:00
20220822,2022,PUT,4135,0.45,3,129.0,expire,16:00
20220823,2022,CALL,4135,0.15,3,38.99999999999999,expire,16:00
20220823,2022,PUT,4120,0.1,3,24.000000000000004,expire,16:00
20220824,2022,CALL,4150,0.15,3,38.99999999999999,expire,16:00
20220824,2022,PUT,4140,0.1,3,24.000000000000004,expire,16:00
20220825,2022,CALL,4195,0.30000000000000004,3,-351.0,touch,15:57
20220825,2022,PUT,4185,0.3,3,83.99999999999999,expire,16:00
20220826,2022,CALL,4070,0.39999999999999997,3,114.0,expire,16:00
20220826,2022,PUT,4060,0.6,3,-171.0,touch,15:54
20220829,2022,CALL,4045,0.7,3,203.99999999999997,expire,16:00
20220829,2022,PUT,4035,0.25,3,-171.0,touch,15:59
20220830,2022,CALL,3985,0.7000000000000001,3,-201.00000000000003,touch,15:58
20220830,2022,PUT,3975,0.85,3,248.99999999999997,expire,16:00
20220831,2022,CALL,3975,0.75,3,219.0,expire,16:00
20220831,2022,PUT,3965,0.5,3,-200.99999999999997,touch,15:55
20220901,2022,CALL,3955,1.1,3,-215.99999999999997,touch,15:54
20220901,2022,PUT,3945,0.5499999999999999,3,159.0,expire,16:00
20220902,2022,CALL,3920,0.6499999999999999,3,-186.00000000000003,touch,15:54
20220902,2022,PUT,3910,0.65,3,189.00000000000003,expire,16:00
20220906,2022,CALL,3910,1.0,3,-35.99999999999996,touch,15:59
20220906,2022,PUT,3900,0.5999999999999999,3,173.99999999999997,expire,16:00
20220907,2022,CALL,3990,0.35,3,98.99999999999999,expire,16:00
20220907,2022,PUT,3975,0.35000000000000003,3,99.0,expire,16:00
20220908,2022,CALL,4000,0.55,3,-246.00000000000003,touch,15:54
20220908,2022,PUT,3990,0.6500000000000001,3,189.00000000000003,expire,16:00
20220909,2022,CALL,4075,0.55,3,159.0,expire,16:00
