label,entry,dist,width,touch,sides,pnl,dd,wr,n,sharpe,pf,worst
"BOTH, 15:55, d=2, t=$-0.5, w=5",15:55,2,5,-0.5,BOTH,15704,-6285,74.5,983,1.12,1.22,-1461
"BOTH, 15:55, d=2, t=$-0.5, w=10",15:55,2,10,-0.5,BOTH,13389,-1973,76.2,1011,2.1,1.49,-742
"PUT, 15:55, d=2, t=$+0.0, w=5",15:55,2,5,0,PUT,898,-7725,71.5,492,0.12,1.02,-1461
"PUT, 15:55, d=2, t=$+0.0, w=10",15:55,2,10,0,PUT,4841,-2693,73.8,504,1.37,1.29,-742
"BOTH, 15:55, d=2, t=$+0.0, w=5",15:55,2,5,0,BOTH,8029,-7068,71.4,983,0.58,1.11,-1461
"BOTH, 15:55, d=2, t=$+0.0, w=10",15:55,2,10,0,BOTH,10208,-1914,73.6,1011,1.6,1.36,-742
"PUT, 15:55, d=2, t=$+0.5, w=5",15:55,2,5,0.5,PUT,-1812,-7734,68.1,492,-0.24,0.96,-1461
"PUT, 15:55, d=2, t=$+0.5, w=10",15:55,2,10,0.5,PUT,3796,-2538,71.6,504,1.09,1.23,-742
"BOTH, 15:55, d=2, t=$+0.5, w=5",15:55,2,5,0.5,BOTH,1084,-10348,68.0,983,0.08,1.01,-1461
"BOTH, 15:55, d=2, t=$+0.5, w=10",15:55,2,10,0.5,BOTH,7498,-2441,70.6,1011,1.19,1.26,-742
"PUT, 15:55, d=2, t=$+1.0, w=5",15:55,2,5,1.0,PUT,-7122,-11454,63.4,492,-0.95,0.84,-1461
"PUT, 15:55, d=2, t=$+1.0, w=10",15:55,2,10,1.0,PUT,1591,-2863,67.3,504,0.46,1.09,-742
"BOTH, 15:55, d=2, t=$+1.0, w=5",15:55,2,5,1.0,BOTH,-6806,-16522,64.3,983,-0.5,0.91,-1461
"BOTH, 15:55, d=2, t=$+1.0, w=10",15:55,2,10,1.0,BOTH,4233,-4100,67.5,1011,0.68,1.14,-742
"PUT, 15:55, d=2, t=$+2.0, w=5",15:55,2,5,2.0,PUT,-14917,-18032,58.1,492,-2.06,0.68,-1461
"PUT, 15:55, d=2, t=$+2.0, w=10",15:55,2,10,2.0,PUT,-1639,-4725,63.1,504,-0.49,0.91,-742
"BOTH, 15:55, d=2, t=$+2.0, w=5",15:55,2,5,2.0,BOTH,-21626,-28499,58.4,983,-1.63,0.74,-1461
"BOTH, 15:55, d=2, t=$+2.0, w=10",15:55,2,10,2.0,BOTH,-1847,-7246,62.3,1011,-0.31,0.94,-742
"PUT, 15:55, d=3, t=None, w=5",15:55,3,5,,PUT,-37649,-37796,29.2,479,-6.71,0.18,-1461
"PUT, 15:55, d=3, t=None, w=10",15:55,3,10,,PUT,-11509,-11777,38.8,500,-4.33,0.34,-742
"BOTH, 15:55, d=3, t=None, w=5",15:55,3,5,,BOTH,-63788,-63959,29.1,938,-6.64,0.19,-1461
"BOTH, 15:55, d=3, t=None, w=10",15:55,3,10,,BOTH,-20001,-20118,37.0,986,-4.37,0.33,-742
"PUT, 15:55, d=3, t=$-0.5, w=5",15:55,3,5,-0.5,PUT,406,-7413,75.4,479,0.06,1.01,-1461
"PUT, 15:55, d=3, t=$-0.5, w=10",15:55,3,10,-0.5,PUT,4526,-2737,77.6,500,1.41,1.32,-742
"BOTH, 15:55, d=3, t=$-0.5, w=5",15:55,3,5,-0.5,BOTH,12502,-6660,78.8,938,1.08,1.23,-1461
"BOTH, 15:55, d=3, t=$-0.5, w=10",15:55,3,10,-0.5,BOTH,11300,-2574,80.5,986,2.07,1.52,-742
"PUT, 15:55, d=3, t=$+0.0, w=5",15:55,3,5,0,PUT,-339,-6951,73.7,479,-0.05,0.99,-1461
"PUT, 15:55, d=3, t=$+0.0, w=10",15:55,3,10,0,PUT,4141,-2437,76.2,500,1.3,1.3,-742
"BOTH, 15:55, d=3, t=$+0.0, w=5",15:55,3,5,0,BOTH,7797,-5895,75.6,938,0.68,1.14,-1461
"BOTH, 15:55, d=3, t=$+0.0, w=10",15:55,3,10,0,BOTH,9209,-2285,77.9,986,1.7,1.41,-742
"PUT, 15:55, d=3, t=$+0.5, w=5",15:55,3,5,0.5,PUT,-2319,-7813,70.1,479,-0.35,0.93,-1461
"PUT, 15:55, d=3, t=$+0.5, w=10",15:55,3,10,0.5,PUT,3391,-2367,73.6,500,1.08,1.24,-742
"BOTH, 15:55, d=3, t=$+0.5, w=5",15:55,3,5,0.5,BOTH,3687,-6570,72.4,938,0.33,1.07,-1461
"BOTH, 15:55, d=3, t=$+0.5, w=10",15:55,3,10,0.5,BOTH,7634,-2288,75.1,986,1.43,1.34,-742
"PUT, 15:55, d=3, t=$+1.0, w=5",15:55,3,5,1.0,PUT,-6924,-10813,66.0,479,-1.05,0.82,-1461
"PUT, 15:55, d=3, t=$+1.0, w=10",15:55,3,10,1.0,PUT,1466,-2682,69.8,500,0.47,1.1,-742
"BOTH, 15:55, d=3, t=$+1.0, w=5",15:55,3,5,1.0,BOTH,-3663,-10767,69.0,938,-0.32,0.94,-1461
"BOTH, 15:55, d=3, t=$+1.0, w=10",15:55,3,10,1.0,BOTH,4594,-2928,71.9,986,0.86,1.19,-742
"PUT, 15:55, d=3, t=$+2.0, w=5",15:55,3,5,2.0,PUT,-11794,-14774,61.6,479,-1.82,0.7,-1461
"PUT, 15:55, d=3, t=$+2.0, w=10",15:55,3,10,2.0,PUT,-644,-3517,66.6,500,-0.21,0.96,-742
"BOTH, 15:55, d=3, t=$+2.0, w=5",15:55,3,5,2.0,BOTH,-14008,-19362,63.8,938,-1.25,0.78,-1461
"BOTH, 15:55, d=3, t=$+2.0, w=10",15:55,3,10,2.0,BOTH,294,-4440,67.4,986,0.06,1.01,-742
"PUT, 15:55, d=5, t=None, w=5",15:55,5,5,,PUT,-26988,-27000,25.9,398,-6.82,0.16,-1131
"PUT, 15:55, d=5, t=None, w=10",15:55,5,10,,PUT,-8421,-8605,32.1,443,-4.54,0.31,-547
"BOTH, 15:55, d=5, t=None, w=5",15:55,5,5,,BOTH,-45210,-45255,24.2,760,-6.92,0.16,-1131
"BOTH, 15:55, d=5, t=None, w=10",15:55,5,10,,BOTH,-14172,-14217,30.7,841,-4.69,0.3,-547
"PUT, 15:55, d=5, t=$-0.5, w=5",15:55,5,5,-0.5,PUT,3447,-4896,82.4,398,0.73,1.16,-1131
"PUT, 15:55, d=5, t=$-0.5, w=10",15:55,5,10,-0.5,PUT,4834,-1819,85.1,443,2.21,1.59,-547
"BOTH, 15:55, d=5, t=$-0.5, w=5",15:55,5,5,-0.5,BOTH,8445,-4482,84.9,760,1.07,1.25,-1131
"BOTH, 15:55, d=5, t=$-0.5, w=10",15:55,5,10,-0.5,BOTH,8704,-1525,86.6,841,2.41,1.67,-547
"PUT, 15:55, d=5, t=$+0.0, w=5",15:55,5,5,0,PUT,2952,-4470,80.7,398,0.64,1.14,-1131
"PUT, 15:55, d=5, t=$+0.0, w=10",15:55,5,10,0,PUT,4619,-1669,83.5,443,2.15,1.58,-547
"BOTH, 15:55, d=5, t=$+0.0, w=5",15:55,5,5,0,BOTH,7155,-4401,82.5,760,0.92,1.21,-1131
"BOTH, 15:55, d=5, t=$+0.0, w=10",15:55,5,10,0,BOTH,8098,-1422,84.7,841,2.26,1.62,-547
"PUT, 15:55, d=5, t=$+0.5, w=5",15:55,5,5,0.5,PUT,1857,-4665,77.6,398,0.41,1.09,-1131
"PUT, 15:55, d=5, t=$+0.5, w=10",15:55,5,10,0.5,PUT,4269,-1660,81.0,443,2.02,1.53,-547
"BOTH, 15:55, d=5, t=$+0.5, w=5",15:55,5,5,0.5,BOTH,5910,-3876,79.5,760,0.79,1.18,-1131
"BOTH, 15:55, d=5, t=$+0.5, w=10",15:55,5,10,0.5,BOTH,7758,-1338,82.2,841,2.23,1.61,-547
"PUT, 15:55, d=5, t=$+1.0, w=5",15:55,5,5,1.0,PUT,-678,-5043,75.1,398,-0.15,0.97,-1131
"PUT, 15:55, d=5, t=$+1.0, w=10",15:55,5,10,1.0,PUT,3039,-1695,78.3,443,1.43,1.35,-547
"BOTH, 15:55, d=5, t=$+1.0, w=5",15:55,5,5,1.0,BOTH,3555,-3876,77.9,760,0.47,1.1,-1131
"BOTH, 15:55, d=5, t=$+1.0, w=10",15:55,5,10,1.0,BOTH,6483,-1458,80.5,841,1.86,1.48,-547
"PUT, 15:55, d=5, t=$+2.0, w=5",15:55,5,5,2.0,PUT,-3198,-6423,70.6,398,-0.71,0.86,-1131
"PUT, 15:55, d=5, t=$+2.0, w=10",15:55,5,10,2.0,PUT,1884,-1877,75.6,443,0.9,1.21,-547
"BOTH, 15:55, d=5, t=$+2.0, w=5",15:55,5,5,2.0,BOTH,-750,-6393,73.3,760,-0.1,0.98,-1131
"BOTH, 15:55, d=5, t=$+2.0, w=10",15:55,5,10,2.0,BOTH,4628,-1801,77.3,841,1.33,1.33,-547
