label,entry,dist,width,touch,sides,pnl,dd,wr,n,sharpe,pf,worst
"PUT, 15:52, d=3, t=$+0.0, w=10",15:52,3,10,0,PUT,12257,-878,73.1,520,4.59,2.11,-304
"BOTH, 15:52, d=3, t=$+0.0, w=5",15:52,3,5,0,BOTH,30607,-3949,70.2,1035,2.66,1.53,-728
"BOTH, 15:52, d=3, t=$+0.0, w=10",15:52,3,10,0,BOTH,21648,-1208,73.0,1065,4.11,1.99,-424
"PUT, 15:52, d=3, t=$+0.5, w=5",15:52,3,5,0.5,PUT,11929,-3044,66.1,501,2.16,1.4,-688
"PUT, 15:52, d=3, t=$+0.5, w=10",15:52,3,10,0.5,PUT,10417,-751,69.6,520,4.04,1.94,-304
"BOTH, 15:52, d=3, t=$+0.5, w=5",15:52,3,5,0.5,BOTH,22887,-4006,65.9,1035,2.06,1.39,-728
"BOTH, 15:52, d=3, t=$+0.5, w=10",15:52,3,10,0.5,BOTH,18603,-1106,69.7,1065,3.65,1.85,-424
"PUT, 15:52, d=3, t=$+1.0, w=5",15:52,3,5,1.0,PUT,6609,-3344,60.9,501,1.23,1.22,-688
"PUT, 15:52, d=3, t=$+1.0, w=10",15:52,3,10,1.0,PUT,8357,-631,65.2,520,3.36,1.75,-304
"BOTH, 15:52, d=3, t=$+1.0, w=5",15:52,3,5,1.0,BOTH,15562,-5302,61.9,1035,1.45,1.26,-728
"BOTH, 15:52, d=3, t=$+1.0, w=10",15:52,3,10,1.0,BOTH,15733,-1046,66.6,1065,3.19,1.74,-424
"PUT, 15:52, d=3, t=$+2.0, w=5",15:52,3,5,2.0,PUT,2914,-3854,55.3,501,0.58,1.1,-688
"PUT, 15:52, d=3, t=$+2.0, w=10",15:52,3,10,2.0,PUT,6432,-881,59.6,520,2.76,1.61,-304
"BOTH, 15:52, d=3, t=$+2.0, w=5",15:52,3,5,2.0,BOTH,5987,-7087,55.4,1035,0.6,1.1,-728
"BOTH, 15:52, d=3, t=$+2.0, w=10",15:52,3,10,2.0,BOTH,11003,-1334,59.8,1065,2.38,1.53,-424
"PUT, 15:52, d=5, t=None, w=5",15:52,5,5,,PUT,-26831,-26885,17.3,457,-10.51,0.09,-561
"PUT, 15:52, d=5, t=None, w=10",15:52,5,10,,PUT,-8154,-8231,24.6,495,-6.54,0.23,-304
"BOTH, 15:52, d=5, t=None, w=5",15:52,5,5,,BOTH,-50011,-50044,16.2,906,-10.15,0.09,-848
"BOTH, 15:52, d=5, t=None, w=10",15:52,5,10,,BOTH,-15799,-15853,22.9,991,-6.29,0.22,-484
"PUT, 15:52, d=5, t=$-0.5, w=5",15:52,5,5,-0.5,PUT,6819,-3199,75.5,457,1.35,1.25,-561
"PUT, 15:52, d=5, t=$-0.5, w=10",15:52,5,10,-0.5,PUT,6896,-846,78.8,495,2.88,1.65,-304
"BOTH, 15:52, d=5, t=$-0.5, w=5",15:52,5,5,-0.5,BOTH,21714,-3267,79.5,906,2.41,1.51,-606
"BOTH, 15:52, d=5, t=$-0.5, w=10",15:52,5,10,-0.5,BOTH,16325,-1093,81.8,991,3.8,1.97,-304
"PUT, 15:52, d=5, t=$+0.0, w=5",15:52,5,5,0,PUT,6744,-3094,74.8,457,1.38,1.26,-561
"PUT, 15:52, d=5, t=$+0.0, w=10",15:52,5,10,0,PUT,6796,-803,78.2,495,2.91,1.65,-304
"BOTH, 15:52, d=5, t=$+0.0, w=5",15:52,5,5,0,BOTH,18744,-4293,77.7,906,2.1,1.43,-606
"BOTH, 15:52, d=5, t=$+0.0, w=10",15:52,5,10,0,BOTH,14991,-898,80.2,991,3.53,1.88,-304
