date,unfiltered_pnl,action,size,filtered_pnl,actual_range
2024-05-31,-200,TRADE,1.0,-200.0,0.016907581424356385
2024-06-03,60,TRADE,1.0,60.0,0.012797447684132027
2024-06-04,120,TRADE,1.0,120.0,0.007799948467671056
2024-06-05,60,TRADE,1.0,60.0,0.01063509506104069
2024-06-06,150,TRADE,1.0,150.0,0.005037515398111294
2024-06-07,120,TRADE,1.0,120.0,0.008187042578235378
2024-06-10,150,TRADE,1.0,150.0,0.006416137137208264
2024-06-11,120,TRADE,1.0,120.0,0.00909770222305246
2024-06-12,120,TRADE,1.0,120.0,0.007047344027597763
2024-06-13,120,TRADE,1.0,120.0,0.007243753594772456
2024-06-14,150,TRADE,1.0,150.0,0.0052801581097624535
2024-06-17,60,TRADE,1.0,60.0,0.012538873269000328
2024-06-18,150,TRADE,1.0,150.0,0.0034805474649161183
2024-06-20,120,TRADE,1.0,120.0,0.009085471064492727
2024-06-21,150,TRADE,1.0,150.0,0.004807226204870637
2024-06-24,120,TRADE,1.0,120.0,0.007888885225603381
2024-06-25,150,TRADE,1.0,150.0,0.004819868405872422
2024-06-26,150,TRADE,1.0,150.0,0.005726361590342728
2024-06-27,150,TRADE,1.0,150.0,0.004251323171812363
2024-06-28,60,TRADE,1.0,60.0,0.013213130046934751
2024-07-01,150,TRADE,1.0,150.0,0.0060353714440294125
2024-07-02,120,TRADE,1.0,120.0,0.009385115638685737
2024-07-03,150,TRADE,1.0,150.0,0.005783086152550071
2024-07-05,150,TRADE,1.0,150.0,0.006988195907842457
2024-07-08,150,TRADE,1.0,150.0,0.0036965591494324086
2024-07-09,150,TRADE,1.0,150.0,0.002897439938111595
2024-07-10,120,TRADE,1.0,120.0,0.008754735068660861
2024-07-11,60,TRADE,1.0,60.0,0.01169787816248198
2024-07-12,60,TRADE,1.0,60.0,0.011647790282537759
2024-07-15,120,TRADE,1.0,120.0,0.00925656597187728
2024-07-16,150,TRADE,1.0,150.0,0.005430459117413017
2024-07-17,150,TRADE,1.0,150.0,0.006716493733589667
2024-07-18,-200,TRADE,1.0,-200.0,0.016267990357596206
2024-07-19,60,TRADE,1.0,60.0,0.010906722805802254
2024-07-22,120,TRADE,1.0,120.0,0.007452376572267439
2024-07-23,150,TRADE,1.0,150.0,0.006188345641744471
2024-07-24,-200,TRADE,1.0,-200.0,0.015993926449006945
2024-07-25,-200,TRADE,1.0,-200.0,0.01853850829848773
2024-07-26,60,SKIP,0.0,0.0,0.010604250902244688
2024-07-29,120,TRADE,1.0,120.0,0.007906437446932865
2024-07-30,-200,REDUCE,0.5,-100.0,0.016018310812907412
2024-07-31,60,SKIP,0.0,0.0,0.010491155353013976
2024-08-01,-600,TRADE,1.0,-600.0,0.0281228782341129
2024-08-02,-200,SKIP,0.0,0.0,0.015225150326505744
2024-08-05,-600,SKIP,0.0,0.0,0.025553566783275177
2024-08-06,-600,SKIP,0.0,0.0,0.022814141002838753
2024-08-07,-600,SKIP,0.0,0.0,0.02552365046768176
2024-08-08,-200,SKIP,0.0,0.0,0.017930270324812307
2024-08-09,60,SKIP,0.0,0.0,0.01088122288161424
2024-08-12,120,TRADE,1.0,120.0,0.008750196192739734
2024-08-13,60,REDUCE,0.5,30.0,0.011069410710101292
2024-08-14,120,REDUCE,0.5,60.0,0.008692919983242639
2024-08-15,120,TRADE,1.0,120.0,0.008198315618790948
2024-08-16,150,TRADE,1.0,150.0,0.00665581773799828
2024-08-19,60,TRADE,1.0,60.0,0.01035767819579186
2024-08-20,150,TRADE,1.0,150.0,0.006248572162887696
2024-08-21,120,TRADE,1.0,120.0,0.007337022964114548
2024-08-22,60,TRADE,1.0,60.0,0.014592649221234714
2024-08-23,60,SKIP,0.0,0.0,0.010113360309433815
2024-08-26,120,REDUCE,0.5,60.0,0.008738115418305313
2024-08-27,150,TRADE,1.0,150.0,0.006728670382606249
2024-08-28,60,TRADE,1.0,60.0,0.011748578987325104
2024-08-29,60,REDUCE,0.5,30.0,0.01127815526189071
2024-08-30,60,TRADE,1.0,60.0,0.012396797286173942
2024-09-03,-600,TRADE,1.0,-600.0,0.021259306280883943
2024-09-04,120,REDUCE,0.5,60.0,0.008958210754937626
2024-09-05,60,SKIP,0.0,0.0,0.011912870827959054
2024-09-06,-600,SKIP,0.0,0.0,0.021761906404737026
2024-09-09,120,REDUCE,0.5,60.0,0.009134391876620485
2024-09-10,60,TRADE,1.0,60.0,0.010234021976100507
2024-09-11,-600,SKIP,0.0,0.0,0.02791817219208136
2024-09-12,60,SKIP,0.0,0.0,0.011733735434045654
2024-09-13,150,TRADE,1.0,150.0,0.006178457848354874
2024-09-16,150,TRADE,1.0,150.0,0.005613325236277973
2024-09-17,60,TRADE,1.0,60.0,0.010036230154309728
2024-09-18,60,SKIP,0.0,0.0,0.013235419236823085
2024-09-19,120,TRADE,1.0,120.0,0.008268114887341391
2024-09-20,120,TRADE,1.0,120.0,0.00711953818454413
2024-09-23,150,TRADE,1.0,150.0,0.003701045186365206
2024-09-24,150,TRADE,1.0,150.0,0.0063429044321764785
2024-09-25,150,TRADE,1.0,150.0,0.005052627907179431
2024-09-26,120,TRADE,1.0,120.0,0.008045510237373732
2024-09-27,150,TRADE,1.0,150.0,0.006331489255233314
2024-09-30,60,TRADE,1.0,60.0,0.010758715589922078
2024-10-01,60,TRADE,1.0,60.0,0.013277802189404475
2024-10-02,120,TRADE,1.0,120.0,0.008007876254356703
2024-10-03,120,TRADE,1.0,120.0,0.007267219941770958
2024-10-04,120,TRADE,1.0,120.0,0.008780858495367324
2024-10-07,120,TRADE,1.0,120.0,0.00914810554567949
2024-10-08,120,REDUCE,0.5,60.0,0.007525606996856164
2024-10-09,120,TRADE,1.0,120.0,0.009002399248930724
2024-10-10,150,SKIP,0.0,0.0,0.005238510580856771
2024-10-11,120,TRADE,1.0,120.0,0.008145327605284067
2024-10-14,120,TRADE,1.0,120.0,0.007176906279964552
2024-10-15,60,TRADE,1.0,60.0,0.011229405086981887
2024-10-16,150,TRADE,1.0,150.0,0.006563994649777066
2024-10-17,150,TRADE,1.0,150.0,0.006503143498047872
2024-10-18,150,TRADE,1.0,150.0,0.004447531585836916
2024-10-21,120,TRADE,1.0,120.0,0.007192095352878735
2024-10-22,120,TRADE,1.0,120.0,0.00717849366502647
2024-10-23,60,TRADE,1.0,60.0,0.012415802553775047
2024-10-24,150,TRADE,1.0,150.0,0.005651620887620769
2024-10-25,60,TRADE,1.0,60.0,0.010784742781138739
2024-10-28,150,TRADE,1.0,150.0,0.003400795004396718
2024-10-29,120,TRADE,1.0,120.0,0.007735820526214418
2024-10-30,150,TRADE,1.0,150.0,0.00679965367371604
2024-10-31,60,TRADE,1.0,60.0,0.012549910481460914
2024-11-01,120,SKIP,0.0,0.0,0.008614031961028962
2024-11-04,120,REDUCE,0.5,60.0,0.00784608263538948
2024-11-05,60,TRADE,1.0,60.0,0.010719222428234025
2024-11-06,60,REDUCE,0.5,30.0,0.012148565446240253
2024-11-07,150,REDUCE,0.5,75.0,0.006159190612068535
2024-11-08,150,TRADE,1.0,150.0,0.0059714627992423315
2024-11-11,150,TRADE,1.0,150.0,0.005095808522748209
2024-11-12,120,TRADE,1.0,120.0,0.008301685655273526
2024-11-13,120,TRADE,1.0,120.0,0.007063442342229419
2024-11-14,120,TRADE,1.0,120.0,0.008614817486076112
2024-11-15,60,TRADE,1.0,60.0,0.010538172334887505
2024-11-18,120,TRADE,1.0,120.0,0.007178886549078435
2024-11-19,60,TRADE,1.0,60.0,0.011621706799771765
2024-11-20,60,TRADE,1.0,60.0,0.010163433282496385
2024-11-21,60,TRADE,1.0,60.0,0.01280346363486385
2024-11-22,150,TRADE,1.0,150.0,0.004801189699143384
2024-11-25,120,TRADE,1.0,120.0,0.009485538058969232
2024-11-26,150,TRADE,1.0,150.0,0.005524972375138064
2024-11-27,150,TRADE,1.0,150.0,0.005867867398501186
2024-11-29,150,TRADE,1.0,150.0,0.00669389305094296
2024-12-02,150,TRADE,1.0,150.0,0.0030214681520700786
2024-12-03,150,TRADE,1.0,150.0,0.0030911952235406397
2024-12-04,150,TRADE,1.0,150.0,0.0047418274324107935
2024-12-05,150,TRADE,1.0,150.0,0.003555574533218024
2024-12-06,150,TRADE,1.0,150.0,0.0032870828660601197
2024-12-09,150,TRADE,1.0,150.0,0.006555964892380599
2024-12-10,150,TRADE,1.0,150.0,0.005862067257770716
2024-12-11,150,TRADE,1.0,150.0,0.005353002813461797
2024-12-12,150,TRADE,1.0,150.0,0.004677089832721167
2024-12-13,120,TRADE,1.0,120.0,0.007054845200447498
2024-12-16,150,TRADE,1.0,150.0,0.0042959931000247815
2024-12-17,150,TRADE,1.0,150.0,0.003715789212811243
2024-12-18,-1500,TRADE,1.0,-1500.0,0.03354691491736462
2024-12-19,60,SKIP,0.0,0.0,0.011745883021491115
2024-12-20,-600,REDUCE,0.5,-300.0,0.025635056487504318
2024-12-23,60,TRADE,1.0,60.0,0.012740204536846142
2024-12-24,120,TRADE,1.0,120.0,0.009801775548363183
2024-12-26,120,TRADE,1.0,120.0,0.007034059920630328
2024-12-27,60,TRADE,1.0,60.0,0.0121907971302844
2024-12-30,60,REDUCE,0.5,30.0,0.012098292929685341
2024-12-31,60,TRADE,1.0,60.0,0.01028423545628695
2025-01-02,-200,TRADE,1.0,-200.0,0.017881645057137987
2025-01-03,60,REDUCE,0.5,30.0,0.01030033593218215
2025-01-06,60,TRADE,1.0,60.0,0.010200892222885189
2025-01-07,-200,TRADE,1.0,-200.0,0.0183539509382206
2025-01-08,120,TRADE,1.0,120.0,0.008985460168576874
2025-01-10,60,SKIP,0.0,0.0,0.014017842742791279
2025-01-13,60,SKIP,0.0,0.0,0.011293630945586363
2025-01-14,60,REDUCE,0.5,30.0,0.011349536717031301
2025-01-15,120,SKIP,0.0,0.0,0.009381546126217296
2025-01-16,150,TRADE,1.0,150.0,0.005696214205824886
2025-01-17,150,TRADE,1.0,150.0,0.006091336691463528
2025-01-21,120,TRADE,1.0,120.0,0.007420869553650428
2025-01-22,150,TRADE,1.0,150.0,0.004058282728126348
2025-01-23,120,TRADE,1.0,120.0,0.007249453616662747
2025-01-24,150,TRADE,1.0,150.0,0.0064429389864787325
2025-01-27,120,TRADE,1.0,120.0,0.009088563655127122
2025-01-28,60,TRADE,1.0,60.0,0.013258735318078545
2025-01-29,120,TRADE,1.0,120.0,0.008232497482542862
2025-01-30,120,TRADE,1.0,120.0,0.009780605710035995
