date,actual_range,pred_range_ensemble,pred_range_sim,pred_range_naive,pred_bucket,actual_bucket,danger_prob,action,is_danger,pred_danger
2025-04-04,0.04199435389086469,0.02008861078219075,0.024134904920751595,0.019789758845312144,DANGER,DANGER,0.8471370190955864,SKIP,True,True
2025-04-07,0.08307376776165315,0.02542382924981959,0.024791447786149428,0.04199435389086469,DANGER,DANGER,0.8471273790637999,SKIP,True,True
2025-04-08,0.06874847166785086,0.03515520454584727,0.03101539700141001,0.08307376776165315,DANGER,DANGER,0.9505997116959629,SKIP,True,True
2025-04-09,0.1073272806367415,0.03154285980559895,0.02710363486405277,0.06874847166785086,DANGER,DANGER,0.8520236381403489,SKIP,True,True
2025-04-10,0.04443738733269182,0.01794653689096304,0.03082533403900717,0.1073272806367415,VOLATILE,DANGER,0.8956007039517644,SKIP,True,True
2025-04-11,0.030575238414174623,0.020771456213414558,0.02779890712988594,0.04443738733269182,DANGER,DANGER,0.8518111525163771,SKIP,True,True
2025-04-14,0.01864034281766121,0.019116203984656716,0.026045612920182502,0.030575238414174623,DANGER,DANGER,0.8997405234403023,SKIP,True,True
2025-04-15,0.0118200514043818,0.022346146983414195,0.02719805045862575,0.01864034281766121,DANGER,NORMAL,0.899150726659603,SKIP,False,True
2025-04-16,0.027446938106170608,0.016961632714753587,0.02734246554983719,0.0118200514043818,VOLATILE,DANGER,0.8002663496779444,SKIP,True,True
2025-04-17,0.013708544986758988,0.01892768497547091,0.022527585655796663,0.027446938106170608,DANGER,VOLATILE,0.7534250668422251,SKIP,False,True
2025-04-21,0.025092968770901156,0.02376393540411312,0.02526136958562637,0.013708544986758988,DANGER,DANGER,0.9480620552880866,SKIP,True,True
2025-04-22,0.019574973068569937,0.02409781545877227,0.02286990731022897,0.025092968770901156,DANGER,DANGER,0.7991041817303586,SKIP,True,True
2025-04-23,0.02103811768892043,0.022514266166790545,0.0246341096210562,0.019574973068569937,DANGER,DANGER,0.8975273439366931,SKIP,True,True
2025-04-24,0.021823398459131227,0.022889305644908244,0.024602738177933094,0.02103811768892043,DANGER,DANGER,0.9003118288660535,SKIP,True,True
2025-04-25,0.013160938698260207,0.01806468317756366,0.024510998507184696,0.021823398459131227,DANGER,VOLATILE,0.8019549409393759,SKIP,False,True
2025-04-28,0.01537649071659285,0.02003690444530501,0.024102185866702677,0.013160938698260207,DANGER,VOLATILE,0.9002266881687919,SKIP,True,True
2025-04-29,0.0120260597908464,0.01943833618587214,0.02158963788665338,0.01537649071659285,DANGER,VOLATILE,0.8026412287690489,SKIP,False,True
2025-04-30,0.027020933040455095,0.01883234657095399,0.021805016574932567,0.0120260597908464,DANGER,DANGER,0.7495064489092865,SKIP,True,True
2025-05-01,0.010943727622779075,0.022440835976029395,0.023357814339259802,0.027020933040455095,DANGER,NORMAL,0.8549802035028473,SKIP,False,True
2025-05-02,0.010347368346475672,0.0216723139212774,0.02138679612951923,0.010943727622779075,DANGER,NORMAL,0.8504988826919128,SKIP,False,True
2025-05-05,0.008646725561064723,0.018994595672971896,0.01804057361822821,0.010347368346475672,DANGER,NORMAL,0.7536988743664997,SKIP,False,True
2025-05-06,0.011334547536778407,0.018207423998336785,0.018360562932578477,0.008646725561064723,DANGER,NORMAL,0.6982124242410719,SKIP,False,True
2025-05-07,0.013553181408504757,0.017523100166468224,0.019322975470943884,0.011334547536778407,VOLATILE,VOLATILE,0.6044476001184425,SKIP,False,True
2025-05-08,0.014958683522847703,0.020508536232709637,0.018381517072462255,0.013553181408504757,DANGER,VOLATILE,0.7531397543917469,SKIP,False,True
2025-05-09,0.008370234081325428,0.013989423606082001,0.01457993162854447,0.014958683522847703,VOLATILE,NORMAL,0.45219230342812455,SKIP,False,True
2025-05-12,0.010209739633558335,0.01491286148546434,0.01759527926936254,0.008370234081325428,VOLATILE,NORMAL,0.594714121561656,SKIP,False,True
2025-05-13,0.010525866265811415,0.0066952517758055415,0.011265563111061578,0.010209739633558335,CALM,NORMAL,0.20232796060139324,TRADE,False,False
2025-05-14,0.005840515267758204,0.008809744747046405,0.01258115550868686,0.010525866265811415,NORMAL,CALM,0.29788931481950287,REDUCE,False,True
2025-05-15,0.010059933694730024,0.007978806992249841,0.010452984636630863,0.005840515267758204,NORMAL,NORMAL,0.20302129747556863,TRADE,False,False
2025-05-16,0.008645508838624513,0.011740402958206612,0.011448492648211735,0.010059933694730024,NORMAL,NORMAL,0.29727422151319627,REDUCE,False,True
2025-05-19,0.012353291952402907,0.011302293540603605,0.011091635247269152,0.008645508838624513,NORMAL,VOLATILE,0.29735861584768625,REDUCE,False,True
2025-05-20,0.007367957124545421,0.00956133062278375,0.009721422202771553,0.012353291952402907,NORMAL,NORMAL,0.1512478257409342,TRADE,False,False
2025-05-21,0.018182187344547886,0.011064349643345869,0.010843041547063741,0.007367957124545421,NORMAL,DANGER,0.20187339286100792,TRADE,True,False
2025-05-22,0.008946699855853056,0.017228497389285516,0.01566064817620717,0.018182187344547886,VOLATILE,NORMAL,0.35193179412690045,REDUCE,False,True
2025-05-23,0.010740432626701713,0.021567663002884783,0.022109314528186184,0.008946699855853056,DANGER,NORMAL,0.745359294554787,SKIP,False,True
2025-05-27,0.012001906365998394,0.018009664188748283,0.015391190103022728,0.010740432626701713,DANGER,VOLATILE,0.38978578364882044,REDUCE,False,True
2025-05-28,0.009794887892073965,0.00914512508314735,0.010917668494779589,0.012001906365998394,NORMAL,NORMAL,0.20200218931195651,TRADE,False,False
