iteration,timestamp,idea,entry_time,direction,width,otm_distance,interval,filters,qty,num_trades,win_rate,total_pnl,max_drawdown,sharpe,calmar,profit_factor,avg_win,avg_loss,max_single_loss,verdict,notes
51,2026-04-03 07:53:18,filter_skip_fomc+wed,15:55:00,both_sides,15,12,single,skip_fomc+wed,10,257,98.1,43640.0,-4250.0,6.11,10.27,6.09,207.18,-1714.0,-4250.0,SWEEP,
52,2026-04-03 07:53:22,filter_vix_max_25,15:55:00,both_sides,15,12,single,vix_max_25,10,228,98.2,14790.0,-14670.0,0.99,1.01,1.63,170.18,-5832.5,-14670.0,SWEEP,
53,2026-04-03 07:53:27,filter_vix_max_30,15:55:00,both_sides,15,12,single,vix_max_30,10,292,97.3,21090.0,-16120.0,1.18,1.31,1.69,181.23,-3797.5,-14670.0,SWEEP,
54,2026-04-03 07:53:32,filter_vix_max_35,15:55:00,both_sides,15,12,single,vix_max_35,10,335,97.6,32680.0,-14670.0,1.7,2.23,2.08,192.84,-3797.5,-14670.0,SWEEP,
55,2026-04-03 07:53:36,filter_prior_day_ret_1pct,15:55:00,both_sides,15,12,single,prior_day_ret_1pct,10,191,98.4,14450.0,-14670.0,1.17,0.99,1.89,162.98,-5396.67,-14670.0,SWEEP,
56,2026-04-03 07:53:40,filter_prior_day_ret_2pct,15:55:00,both_sides,15,12,single,prior_day_ret_2pct,10,298,97.7,27050.0,-16110.0,1.5,1.68,1.96,190.14,-4040.0,-14670.0,SWEEP,
57,2026-04-03 07:53:44,filter_skip_fomc+vix25,15:55:00,both_sides,15,12,single,skip_fomc+vix25,10,210,98.6,25550.0,-7140.0,3.63,3.58,3.95,165.27,-2886.67,-7140.0,SWEEP,
58,2026-04-03 07:53:49,filter_skip_fomc+vix30,15:55:00,both_sides,15,12,single,skip_fomc+vix30,10,270,97.8,31510.0,-10470.0,3.24,3.01,3.01,178.86,-2618.33,-7140.0,SWEEP,
59,2026-04-03 07:54:18,wf_is_skip_wed,15:55:00,both_sides,15,12,single,skip_wed,10,160,98.1,22360.0,-4250.0,4.8,5.26,4.96,178.41,-1883.33,-4250.0,WF_IS,
60,2026-04-03 07:54:18,wf_oos_skip_wed,15:55:00,both_sides,15,12,single,skip_wed,10,98,98.0,21410.0,-2100.0,8.76,10.2,8.33,253.44,-1460.0,-2100.0,WF_OOS,
61,2026-04-03 07:54:42,filter_skip_wed+fomc,15:55:00,both_sides,15,12,single,skip_wed+fomc,10,258,98.1,43770.0,-4250.0,6.12,10.3,6.11,206.88,-1714.0,-4250.0,SWEEP,
62,2026-04-03 07:54:45,filter_skip_wed+tue,15:55:00,both_sides,15,12,single,skip_wed+tue,10,213,98.1,37600.0,-4350.0,6.19,8.64,6.81,210.86,-1617.5,-4250.0,SWEEP,
63,2026-04-03 07:54:48,filter_skip_wed+prior1pct,15:55:00,both_sides,15,12,single,skip_wed+prior1pct,10,143,98.6,20510.0,-820.0,9.68,25.01,14.49,156.24,-760.0,-820.0,SWEEP,
64,2026-04-03 07:54:52,filter_skip_wed+prior2pct,15:55:00,both_sides,15,12,single,skip_wed+prior2pct,10,222,98.2,35020.0,-4250.0,5.74,8.24,6.41,190.32,-1617.5,-4250.0,SWEEP,
65,2026-04-03 07:54:56,filter_skip_wed+vix30,15:55:00,both_sides,15,12,single,skip_wed+vix30,10,220,97.7,31330.0,-4250.0,5.1,7.37,4.66,185.58,-1714.0,-4250.0,SWEEP,
66,2026-04-03 07:55:00,filter_skip_wed+morning1pct,15:55:00,both_sides,15,12,single,skip_wed+morning1pct,10,179,97.2,15450.0,-4450.0,3.65,3.47,2.8,138.05,-1714.0,-4250.0,SWEEP,
67,2026-04-03 07:55:04,filter_skip_wed+morning0.5pct,15:55:00,both_sides,15,12,single,skip_wed+morning0.5pct,10,111,95.5,3560.0,-4740.0,1.2,0.75,1.42,114.43,-1714.0,-4250.0,SWEEP,
68,2026-04-03 07:55:33,prior_ret_sweep_0.5,15:55:00,both_sides,15,12,single,skip_wed+prior0.5pct,10,76,97.4,11000.0,-820.0,8.1,13.41,8.24,169.19,-760.0,-820.0,SWEEP,
69,2026-04-03 07:55:36,prior_ret_sweep_0.75,15:55:00,both_sides,15,12,single,skip_wed+prior0.75pct,10,119,98.3,18740.0,-820.0,9.88,22.85,13.33,173.16,-760.0,-820.0,SWEEP,
70,2026-04-03 07:55:38,prior_ret_sweep_1.0,15:55:00,both_sides,15,12,single,skip_wed+prior1.0pct,10,143,98.6,20510.0,-820.0,9.68,25.01,14.49,156.24,-760.0,-820.0,SWEEP,
71,2026-04-03 07:55:41,prior_ret_sweep_1.25,15:55:00,both_sides,15,12,single,skip_wed+prior1.25pct,10,168,98.8,24610.0,-820.0,10.2,30.01,17.19,157.41,-760.0,-820.0,SWEEP,
72,2026-04-03 07:55:45,prior_ret_sweep_1.5,15:55:00,both_sides,15,12,single,skip_wed+prior1.5pct,10,186,98.9,26900.0,-820.0,10.39,32.8,18.7,154.46,-760.0,-820.0,SWEEP,
73,2026-04-03 07:55:48,prior_ret_sweep_1.75,15:55:00,both_sides,15,12,single,skip_wed+prior1.75pct,10,205,98.5,25540.0,-4250.0,5.57,6.01,5.43,155.0,-1923.33,-4250.0,SWEEP,
74,2026-04-03 07:55:52,prior_ret_sweep_2.0,15:55:00,both_sides,15,12,single,skip_wed+prior2.0pct,10,222,98.2,35020.0,-4250.0,5.74,8.24,6.41,190.32,-1617.5,-4250.0,SWEEP,
