signal_date,trade_date,signal_mode,spx_close_signal,spx_close_exit,short_strike,long_strike,credit_received,spread_value_exit,raw_return,capped_return,pnl_earned,win,loss,equity_after,vix_level,variance_pct,rel_vol,rising_rocket,exhaustion_score,body_size,atr,rsi,stoch,gap_pct,cluster_count,dist_from_sma
20220525,20220527,dynamic,3979.0,4158.27,3985.0,3995.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,102416.0,28.37,72.64,1.0,0.010045,107.84,49.41,104.38,38.8,48.6,-0.3201,0,-0.016592
20220526,20220531,dynamic,4057.94,4132.47,4065.0,4075.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101814.0,27.5,81.0,1.0,0.021926,116.3,73.34,104.83,45.9,88.3,0.1407,0,0.005777
20220527,20220601,dynamic,4158.27,4101.18,4165.0,4175.0,4.0,0,0.6667,0.66,394.0,1,0,102208.0,25.72,99.73,1.0,0.033816,139.25,80.84,101.43,60.7,99.9,0.4803,0,0.030305
20220531,20220602,dynamic,4132.47,4176.89,4140.0,4150.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101606.0,26.19,43.48,1.0,0.019362,64.46,18.62,98.06,58.3,90.0,-0.1727,1,0.024206
20220601,20220603,dynamic,4101.18,4108.44,4110.0,4120.0,4.0,0,0.6667,0.66,394.0,1,0,102000.0,25.69,29.49,1.0,0.003771,49.15,48.6,96.09,60.9,81.2,0.4189,2,0.017385
20220602,20220606,dynamic,4176.89,4121.32,4185.0,4195.0,4.0,0,0.6667,0.66,394.0,1,0,102394.0,24.72,99.4,1.0,0.012493,144.64,81.48,95.89,64.8,99.8,-0.1407,2,0.037756
20220603,20220607,dynamic,4108.44,4160.54,4115.0,4125.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101792.0,24.79,22.2,1.0,-0.006531,41.78,29.13,93.72,55.2,81.2,-0.9414,3,0.021248
20220607,20220609,dynamic,4160.54,4017.74,4170.0,4180.0,4.0,0,0.6667,0.66,394.0,1,0,102186.0,24.02,94.9,1.0,0.006499,139.98,64.07,93.73,54.7,95.4,-0.603,2,0.032058
20220613,20220615,dynamic,3749.91,3789.91,3755.0,3765.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101584.0,34.02,15.03,1.0,-0.059922,46.36,88.24,92.25,37.7,3.5,-1.6051,4,-0.068574
20220614,20220616,dynamic,3735.88,3667.24,3745.0,3755.0,4.0,0,0.6667,0.66,394.0,1,0,101978.0,32.69,41.66,1.0,-0.043064,79.02,27.64,90.38,38.5,6.4,0.3629,4,-0.068908
20220615,20220617,dynamic,3789.91,3674.45,3795.0,3805.0,4.0,0,0.6667,0.66,394.0,1,0,102372.0,29.62,58.66,1.0,-0.012746,94.51,25.86,93.31,39.6,17.9,0.754,3,-0.05191
20220616,20220621,dynamic,3667.24,3764.84,3675.0,3685.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101770.0,32.95,31.07,1.0,-0.026932,59.78,60.94,97.16,29.5,5.1,-1.6288,3,-0.079639
20220617,20220622,dynamic,3674.45,3759.84,3680.0,3690.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101168.0,31.13,53.05,1.0,-0.013167,86.78,8.55,95.04,21.9,7.0,-0.0365,3,-0.075204
20220621,20220623,dynamic,3764.84,3795.76,3770.0,3780.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100566.0,30.19,76.98,1.0,0.010298,113.85,49.53,98.02,30.2,23.7,1.112,2,-0.050824
20220622,20220624,dynamic,3759.84,3912.15,3765.0,3775.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99964.0,28.95,50.12,1.0,0.007661,76.97,25.95,97.41,31.0,22.7,-0.8221,3,-0.04952
20220623,20220627,dynamic,3795.76,3900.35,3805.0,3815.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99362.0,29.05,88.45,1.0,0.016969,128.08,21.05,94.26,27.9,29.9,0.3955,2,-0.03866
20220624,20220628,dynamic,3912.15,3821.74,3920.0,3930.0,4.0,0,0.6667,0.66,394.0,1,0,99756.0,27.23,98.37,1.0,0.034575,137.14,90.4,97.09,39.2,51.8,0.6847,1,-0.008343
20220627,20220629,dynamic,3900.35,3818.7,3910.0,3920.0,4.0,0,0.6667,0.66,394.0,1,0,100150.0,26.95,28.09,1.0,0.019276,42.94,20.41,95.5,37.8,49.9,0.2201,2,-0.009355
20220629,20220701,dynamic,3818.7,3825.36,3825.0,3835.0,4.0,0.36,0.6067,0.6067,362.0,1,0,100512.0,28.16,52.51,1.0,-0.008063,84.62,6.39,97.3,33.6,37.7,0.0877,3,-0.022017
20220630,20220705,dynamic,3786.03,3831.59,3795.0,3805.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99910.0,28.71,58.96,1.0,-0.016052,95.85,0.04,95.76,36.2,44.2,-0.8566,3,-0.026455
20220701,20220706,dynamic,3825.36,3845.15,3835.0,3845.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99308.0,26.7,94.26,1.0,-0.001325,141.23,44.36,92.91,45.1,61.0,-0.1329,2,-0.011875
20220705,20220707,dynamic,3831.59,3902.43,3840.0,3850.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98706.0,27.54,99.33,1.0,0.003905,146.9,38.98,87.46,56.6,63.0,-0.8561,1,-0.006715
20220706,20220708,dynamic,3845.15,3899.37,3855.0,3865.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98104.0,26.73,58.14,1.0,0.006224,88.59,13.17,86.68,58.9,67.4,0.0102,0,0.000382
20220707,20220711,dynamic,3902.43,3854.47,3910.0,3920.0,4.0,0,0.6667,0.66,394.0,1,0,98498.0,26.08,84.16,1.0,0.016758,122.14,43.58,83.12,59.1,85.9,0.3563,0,0.018704
20220708,20220712,dynamic,3899.37,3819.14,3905.0,3915.0,4.0,0,0.6667,0.66,394.0,1,0,98892.0,24.64,61.09,1.0,0.009995,91.68,11.11,75.91,73.2,85.0,-0.3631,0,0.020788
20220712,20220714,dynamic,3819.14,3790.25,3825.0,3835.0,4.0,0,0.6667,0.66,394.0,1,0,99286.0,27.29,23.62,1.0,-0.011638,45.15,32.81,72.13,55.6,44.5,-0.0654,2,0.003
20220713,20220715,dynamic,3801.59,3862.89,3810.0,3820.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98684.0,26.82,60.42,1.0,-0.013957,97.32,21.92,71.15,54.2,30.4,-1.0335,2,-0.002286
20220714,20220718,dynamic,3790.25,3830.83,3800.0,3810.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98082.0,26.4,91.77,1.0,-0.011144,140.43,26.26,72.65,49.4,30.6,-0.9891,2,-0.005971
20220715,20220719,dynamic,3862.89,3936.14,3870.0,3880.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,97480.0,24.23,98.43,1.0,0.00973,144.03,44.89,69.47,44.2,63.0,0.7321,1,0.012111
